Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","47uF","C_0805_2012Metric",20.2500,38.3000,180.0000,bottom
"C2","100nF","C_0805_2012Metric",23.7500,38.3000,0.0000,bottom
"D1","SS14","D_SMA",16.5000,35.6000,90.0000,bottom
"D2","SS14","D_SMA",17.1000,26.5000,0.0000,bottom
"D3","SS14","D_SMA",26.0000,32.0000,90.0000,bottom
"D4","SS14","D_SMA",24.2000,26.5000,180.0000,bottom
"J1","HEADER_2x02_PARALLEL","Straight_2x02",10.2700,33.0700,180.0000,top
"J2","HEADER_2x02_PARALLEL","Straight_2x02",30.4300,32.9700,0.0000,top
"J3","HEADER_2x06_PARALLEL","Straight_2x06",30.6000,22.0100,0.0000,top
"J4","HEADER_2x06_PARALLEL","Straight_2x06",10.3000,22.0100,180.0000,top
"J5","HEADER_2x04_PARALLEL","Straight_2x04",19.9500,41.8000,90.0000,top
"M1","SROUB3M","MountingHole_3mm",10.1600,40.6400,0.0000,top
"M2","SROUB3M","MountingHole_3mm",30.4800,40.6400,0.0000,top
"M3","SROUB3M","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M4","SROUB3M","MountingHole_3mm",30.4800,10.1600,0.0000,top
"R1","100R","R_0805_2012Metric",16.6000,31.0000,0.0000,bottom
"R2","100R","R_0805_2012Metric",13.9000,30.0125,-90.0000,bottom
"R3","100k","R_0805_2012Metric",19.3000,34.6000,-90.0000,bottom
"R4","100k","R_0805_2012Metric",19.3000,30.6000,-90.0000,bottom
"T1","IRLML6244","SOT-23",22.3000,34.6000,0.0000,bottom
"T2","IRLML6244","SOT-23",22.2625,30.6000,0.0000,bottom
"X1","RELE","Relay_DPDT_FRT5",16.4750,22.1000,0.0000,top
