Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,"Unpolarized capacitor, small symbol",C_Small,C2,100nF,C_0805_2012Metric,1,~
2,"Unpolarized capacitor, small symbol",C_Small,C1,47uF,C_0805_2012Metric,1,~
3,"40V 1A Schottky Diode, SMA",SS14,D1D2D3D4,SS14,D_SMA,4,https://www.vishay.com/docs/88746/ss12.pdf
4,"2x02 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x02_PARALLEL,J1J2,HEADER_2x02_PARALLEL,Straight_2x02,2,
5,"2x04 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x04_PARALLEL,J5,HEADER_2x04_PARALLEL,Straight_2x04,1,
6,"2x06 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x06_PARALLEL,J3J4,HEADER_2x06_PARALLEL,Straight_2x06,2,
7,,R0805,R1R2,100R,R_0805_2012Metric,2,
8,,R0805,R3R4,100k,R_0805_2012Metric,2,
9,,IRLML6244TRPBF,T1T2,IRLML6244,SOT-23,2,
10,,RELE,X1,RELE,Relay_DPDT_FRT5,1,
