Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","HEADER_2x02_PARALLEL","Straight_2x02",10.2700,33.0700,180.0000,top
"J2","HEADER_2x02_PARALLEL","Straight_2x02",30.4300,32.9700,0.0000,top
"J3","HEADER_2x06_PARALLEL","Straight_2x06",30.6000,22.0100,0.0000,top
"J4","HEADER_2x06_PARALLEL","Straight_2x06",10.3000,22.0100,180.0000,top
"J5","HEADER_2x04_PARALLEL","Straight_2x04",19.9500,41.8000,90.0000,top
"M1","SROUB3M","MountingHole_3mm",10.1600,40.6400,0.0000,top
"M2","SROUB3M","MountingHole_3mm",30.4800,40.6400,0.0000,top
"M3","SROUB3M","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M4","SROUB3M","MountingHole_3mm",30.4800,10.1600,0.0000,top
"X1","RELE","Relay_DPDT_FRT5",16.4750,22.1000,0.0000,top
